Cmdline: /data/bin/simpleperf record -p 19357 -o /sdcard/perf_19357.data --duration 360
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 754961
Event count: 347477464523

Children  Self   Command          Pid    Tid    Shared Object                                                                         Symbol
6.24%     6.24%  Thread-59        19357  21126  /system/lib64/libc.so                                                                 prfm_copy_loop
6.23%     6.23%  Thread-59        19357  21250  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   test_functional_dgemm(unsigned int, double*, double*)
6.20%     6.20%  Thread-59        19357  21127  /system/lib64/libc.so                                                                 prfm_copy_loop
5.98%     5.98%  Thread-59        19357  21251  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   test_functional_dgemm(unsigned int, double*, double*)
5.96%     5.96%  Thread-59        19357  21249  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   test_functional_dgemm(unsigned int, double*, double*)
5.89%     5.89%  Thread-59        19357  21248  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   test_functional_dgemm(unsigned int, double*, double*)
3.70%     3.70%  Thread-59        19357  21251  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   test_functional_sgemm(unsigned int, float*, float*)
3.42%     3.42%  Thread-59        19357  21249  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   test_functional_sgemm(unsigned int, float*, float*)
3.09%     3.09%  Thread-59        19357  21248  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   test_functional_sgemm(unsigned int, float*, float*)
2.94%     2.94%  Thread-59        19357  21250  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   test_functional_sgemm(unsigned int, float*, float*)
2.20%     2.20%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   TestRead
1.93%     1.93%  Thread-59        19357  21248  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   sgemm_neon(unsigned int, float*, float*, float*)
1.86%     1.86%  Thread-59        19357  21249  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   sgemm_neon(unsigned int, float*, float*, float*)
1.67%     1.67%  Thread-59        19357  21251  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   sgemm_neon(unsigned int, float*, float*, float*)
1.59%     1.59%  Thread-59        19357  21250  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   sgemm_neon(unsigned int, float*, float*, float*)
1.55%     1.55%  Thread-59        19357  21105  /system/lib64/libc.so                                                                 copy_long
1.55%     1.55%  Thread-59        19357  21116  /system/lib64/libc.so                                                                 copy_long
1.53%     1.53%  Thread-59        19357  21106  /system/lib64/libc.so                                                                 copy_long
1.51%     1.51%  Thread-59        19357  21115  /system/lib64/libc.so                                                                 copy_long
1.25%     1.25%  Thread-59        19357  21127  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   floatcp
1.21%     1.21%  Thread-59        19357  21127  /system/lib64/libc.so                                                                 memset
1.17%     1.17%  Thread-59        19357  21126  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   floatcp
1.13%     1.13%  Thread-59        19357  21126  /system/lib64/libc.so                                                                 memset
0.95%     0.95%  Thread-59        19357  20290  /system/lib64/libz.so                                                                 deflate_slow
0.85%     0.85%  Thread-59        19357  21248  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   void gemm_opt<double>(unsigned int, double*, double*, double*)
0.84%     0.84%  Thread-59        19357  21249  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   void gemm_opt<double>(unsigned int, double*, double*, double*)
0.74%     0.74%  Thread-59        19357  20290  /system/lib64/libz.so                                                                 longest_match
0.72%     0.72%  Thread-59        19357  21250  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   void gemm_opt<double>(unsigned int, double*, double*, double*)
0.69%     0.69%  Thread-59        19357  21251  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   void gemm_opt<double>(unsigned int, double*, double*, double*)
0.60%     0.60%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   @plt
0.57%     0.57%  RenderThread     19357  19825  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.48%     0.48%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   kiss_fftr
0.47%     0.47%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   av_aes_crypt
0.32%     0.32%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   Permute_ranges
0.30%     0.30%  tutu.ABenchMark  19357  19357  [kernel.kallsyms]                                                                     _raw_spin_unlock_irqrestore
0.30%     0.30%  HeapTaskDaemon   19357  19368  /system/lib64/libart.so                                                               void art::gc::collector::ConcurrentCopying::MarkRoot<false>(art::mirror::CompressedReference<art::mirror::Object>*)
0.28%     0.28%  HeapTaskDaemon   19357  19368  /system/lib64/libart.so                                                               art::gc::collector::ConcurrentCopying::Process(art::mirror::Object*, art::MemberOffset)
0.24%     0.24%  tutu.ABenchMark  19357  19357  [kernel.kallsyms]                                                                     _raw_spin_unlock_irq
0.20%     0.20%  RenderThread     19357  19825  /system/lib64/libhwui.so                                                              android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)
0.18%     0.18%  Thread-59        19357  20290  /data/app/com.antutu.ABenchMark-pdj-ioe7w1jsLsOu10gcIA==/lib/arm64/libabenchmark.so   Build
0.15%     0.15%  Thread-59        19357  21126  [kernel.kallsyms]                                                                     pte_map_lock.isra.105
0.14%     0.14%  Thread-59        19357  21127  [kernel.kallsyms]                                                                     pte_map_lock.isra.105
0.14%     0.14%  Thread-59        19357  20290  /system/lib64/libz.so                                                                 build_tree
0.13%     0.13%  RenderThread     19357  19825  /system/lib64/libhwui.so                                                              android::uirenderer::skiapipeline::SkiaDisplayList::prepareListAndChildren(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool, std::__1::function<void (android::uirenderer::RenderNode*, android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)>)
0.10%     0.10%  Thread-59        19357  20290  /system/lib64/libz.so                                                                 crc32_z
0.10%     0.10%  tutu.ABenchMark  19357  19357  /system/framework/arm64/boot-framework.oat                                            android.view.ViewGroup.onDescendantInvalidated
